"Incluye transacciones del Marketplace de Amazon, Logística de Amazon y Amazon Webstore"
"Todos los importes en EUR, a menos que se especifique lo contrario"
"Definiciones:"
"Recaudación de impuestos sobre ventas: incluye los impuestos sobre ventas recaudados al comprador respecto al producto, el envío y el envoltorio para regalo."
"Tarifas por venta: incluyen tarifas variables por cierre de venta y tarifas por referencia."
"Tarifas de otras transacciones: incluye reintegros de los cargos por envío, retenciones de envío y tarifas de impuestos sobre ventas."
"Otro: incluye importes de transacciones distintas del pedido. Para mas información, consulta las columnas ""Tipo"" y ""Descripción"" de cada número de pedido."
"fecha y hora","identificador de pago","tipo","número de pedido","sku","descripción","cantidad","web de Amazon","gestión logística","ciudad de procedencia del pedido","comunidad autónoma de procedencia del pedido","código postal de procedencia del pedido","Formulario de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","abonos de envío","impuestos por abonos de envío","abonos de envoltorio para regalo","impuestos por abonos de envoltorio para regalo","devoluciones promocionales","impuestos de descuentos por promociones","impuesto retenido en el sitio web","tarifas de venta","tarifas de Logística de Amazon","tarifas de otras transacciones","otro","total"
"8 ago 2025 22:15:42 UTC","25224354552","Pedido","406-3327893-8021141","JOLL051R","Jolly Pets Jolly - Huevo (plástico, 20,3 cm), Color Morado","1","amazon.es","Amazon","madrid","Madrid","28012","","15,22","3,20","0","0","0","0","0","0","0","-3,34","-4,78","-0,07","0","10,23"
"8 ago 2025 22:43:24 UTC","25224354552","Pedido","171-3175809-8714767","DRAGR55800","Dräger X-plore 6300 Máscara completa con conexión roscada estándar Rd40 | Para la construcción y la industria","1","amazon.es","Vendedor","El Puerto de Santa Maria","Cádiz","11500","","90,41","0","0","0","0","0","0","0","0","-19,86","0","-0,40","0","70,15"
"11 ago 2025 0:27:41 UTC","25224354552","IVA de inventario combinado","20285662402","B001IWOOGK","KERBL Seau en Acier Inoxydable pour Élevage/Agriculture Urbaine 8,5 L, argent","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-4,65","-4,65"
"11 ago 2025 8:51:14 UTC","25224354552","IVA de inventario combinado","20285765752","B001IWOOGK","KERBL Seau en Acier Inoxydable pour Élevage/Agriculture Urbaine 8,5 L, argent","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-4,65","-4,65"
"12 ago 2025 7:22:06 UTC","25314126012","Transferir","","","A la cuenta acabada en 319","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-740,98","-740,98"
"13 ago 2025 16:46:14 UTC","25314126012","Pedido","407-7961263-6063542","LAAR0001","Vink Cepillos Para Caballo Limpiador De Botas 3 Cepillos Bajos, Acero Inoxidable","1","amazon.es","Vendedor","LEMOA","VIZCAYA","48330","","173,99","0","0","0","0","0","0","0","0","-38,21","0","-0,76","0","135,02"
"14 ago 2025 15:36:01 UTC","25314126012","Reembolso","407-6637067-5682726","GAMM4340","Gamma2 Vittles Vault - Contenedor apilable de almacenamiento de alimentos para perros con tapa hermética, para hasta 40 libras de comida seca para ma","3","amazon.es","Vendedor","Gozón","Principado de Asturias","33490","","-192,87","-40,50","0","0","0","0","0","0","0","36,32","0","0,85","0","-196,20"
"15 ago 2025 23:06:40 UTC","25314126012","Pedido","406-6385578-8581945","HIND022","Holland Animal Care Vplast Bloque de obstáculos - Bloques de cavaletti - Bloque de salto - 40 x 30 x 15 cm - Plástico - 2 unidades - Rosa","1","amazon.es","Vendedor","Almacelles","Lleida","25100","","52,85","11,10","0","0","0","0","0","0","0","-11,61","0","-0,23","0","52,11"
"16 ago 2025 5:21:32 UTC","25314126012","Pedido","405-1141827-0566767","PEST125048","Pestwest Chameleon Lijmplaat Plastic À 6 Stuks","1","amazon.es","Amazon","Barcelona","Barcelona","08021","","27,11","5,69","1,64","0,35","0","0","-1,64","-0,35","0","-5,95","-0,48","-0,12","0","26,25"
"16 ago 2025 5:23:25 UTC","25314126012","Reembolso","405-1141827-0566767","PEST125048","Pestwest Chameleon Lijmplaat Plastic À 6 Stuks","1","amazon.es","Amazon","Barcelona","Barcelona","08021","","-27,11","-5,69","-1,64","-0,35","0","0","1,64","0,35","0","4,76","0","0,12","0","-27,92"
"18 ago 2025 7:53:19 UTC","25314126012","Pedido","171-8432437-8246761","MOSE0509","MOSER - Star Blade, Cabezal de recambio profesional para la cortadora MOSER Max45, para Perros, 3 mm","1","amazon.es","Vendedor","Arene (arrankudiaga-zollo)","Vizcaya","48498","","48,55","10,20","0","0","0","0","0","0","0","-10,66","0","-0,22","0","47,87"
"21 ago 2025 21:29:07 UTC","25314126012","Pedido","171-0030583-8994721","KNOC001227","Knock Pest Control Fly Tape - 700 metros - Repelente de moscas - Cinta adhesiva para atrapamoscas - sin veneno - con adhesivo y atrayente - Amarillo -","1","amazon.es","Amazon","Ribadesella","Asturias","33569","","58,64","12,31","0","0","0","0","0","0","0","-12,87","0","-0,25","0","57,83"
"24 ago 2025 19:34:40 UTC","25314126012","Reembolso","171-3175809-8714767","DRAGR55800","Dräger X-plore 6300 Máscara completa con conexión roscada estándar Rd40 | Para la construcción y la industria","1","amazon.es","Vendedor","El Puerto de Santa Maria","Cádiz","11500","","-90,41","0","0","0","0","0","0","0","0","15,89","0","0,40","0","-74,12"
"25 ago 2025 15:54:13 UTC","25402855512","Pedido","404-8386786-1909966","EATS005","Eat Slow Live Longer Comedero Original L/XL - Ø30 cm - Comedero Perro antivoracidad - Comedero Lento para Perros - Antideslizante - Adecuado para Per","1","amazon.es","Amazon","TARRAGONA","TARRAGONA","43001","","17,31","0","0","0","0","0","0","0","0","-3,79","-5,98","-0,07","0","7,47"
"25 ago 2025 18:33:37 UTC","25402855512","Pedido","402-3226258-2379556","JOLL047A","Jolly Pets Pelota para Masticar Tug-n-Toss, Resistente y con asa","1","amazon.es","Vendedor","Leganes","Madrid","28918","","47,80","10,04","0","0","0","0","0","0","0","-10,50","0","-0,21","0","47,13"
"25 ago 2025 20:56:22 UTC","25402855512","Pedido","408-8043683-8190765","RAXI016","Raxit Door Seal 5 Meter","1","amazon.es","Vendedor","Salvaterra de Miño","Pontevedra","36458","","135,21","0","0","0","0","0","0","0","0","-25,74","0","-0,52","0","108,95"
"26 ago 2025 0:08:19 UTC","25402855512","Pedido","408-9958377-4614764","BARR00250","EXCELLENT Suministros Para El Cuidado De La Salud Barricada Oveja (Miasis), Repelente Por Inmersión Y Pulverización","1","amazon.es","Amazon","Fornells de la Selva","Girona","17458","","18,97","3,98","0","0","0","0","0","0","0","-4,17","0","-0,09","0","18,69"
"26 ago 2025 7:21:45 UTC","25402855512","Transferir","","","A la cuenta acabada en 319","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-20,84","-20,84"
"26 ago 2025 13:14:01 UTC","25402855512","IVA de inventario combinado","20292571172","B001IWOOGK","EXCELLENT Suministros Para La Alimentación Cubo De Acero Inoxidable 8.5 L","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26 ago 2025 13:45:50 UTC","25402855512","Tarifas de inventario de Logística de Amazon","9xtBZUSROy","","Tarifa por devolución de inventario","","Amazon.es","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-0,89","-0,89"
"28 ago 2025 11:10:37 UTC","25402855512","IVA de inventario combinado","20293620002","B001IWOOGK","EXCELLENT Suministros Para La Alimentación Cubo De Acero Inoxidable 8.5 L","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28 ago 2025 11:10:37 UTC","25402855512","IVA de inventario combinado","20293620002","B001IWOOGK","EXCELLENT Suministros Para La Alimentación Cubo De Acero Inoxidable 8.5 L","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-4,67","-4,67"
"28 ago 2025 12:17:41 UTC","25402855512","Pedido","407-2869984-8449110","DRAGR57793","Dräger X-plore 3300 Semimáscara con filtros A2P3 R D Máscara de protección respiratoria homologada para pintura, agricultura, fumigantes, insectic","1","amazon.es","Vendedor","JIJONA","ALICANTE","03100","","59,47","0","0","0","0","0","0","0","0","-13,06","0","-0,27","0","46,14"
"29 ago 2025 17:54:06 UTC","25402855512","Pedido","408-4087119-2595527","ENER000255","EXCELLENT Suministros Para El Cuidado De La Salud Ener Bolus Ovejas Y Cabras","1","amazon.es","Amazon","Cospeito","Lugo","27378","","20,62","4,33","0","0","0","0","0","0","0","-4,52","0","-0,08","0","20,35"
"31 ago 2025 17:57:19 UTC","25402855512","Pedido","402-8579309-3957949","HOOI018M06","Excellent - Hay Slowfeeder Fun&Flex Ø 22 cm - Red para heno Caballos - Comedero Lento Caballos - contra el deterioro del establo - hasta 1 kg de heno","1","amazon.es","Amazon","San antonio de Benageber","Valencia","46184","","23,93","5,02","0","0","0","0","0","0","0","-5,26","-5,97","-0,11","0","17,61"
"31 ago 2025 18:31:21 UTC","25402855512","IVA de inventario combinado","20295442862","B001IWOOGK","EXCELLENT Suministros Para La Alimentación Cubo De Acero Inoxidable 8.5 L","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
