"Incluye transacciones del Marketplace de Amazon, Logística de Amazon y Amazon Webstore"
"Todos los importes en EUR, a menos que se especifique lo contrario"
"Definiciones:"
"Recaudación de impuestos sobre ventas: incluye los impuestos sobre ventas recaudados al comprador respecto al producto, el envío y el envoltorio para regalo."
"Tarifas por venta: incluyen tarifas variables por cierre de venta y tarifas por referencia."
"Tarifas de otras transacciones: incluye reintegros de los cargos por envío, retenciones de envío y tarifas de impuestos sobre ventas."
"Otro: incluye importes de transacciones distintas del pedido. Para mas información, consulta las columnas ""Tipo"" y ""Descripción"" de cada número de pedido."
"fecha y hora","identificador de pago","tipo","número de pedido","sku","descripción","cantidad","web de Amazon","gestión logística","ciudad de procedencia del pedido","comunidad autónoma de procedencia del pedido","código postal de procedencia del pedido","Formulario de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","abonos de envío","impuestos por abonos de envío","abonos de envoltorio para regalo","impuestos por abonos de envoltorio para regalo","devoluciones promocionales","impuestos de descuentos por promociones","impuesto retenido en el sitio web","tarifas de venta","tarifas de Logística de Amazon","tarifas de otras transacciones","otro","total"
"19 sept 2025 18:18:10 UTC","25490629642","Tarifas de inventario de Logística de Amazon","","","Tarifa por almacenamiento prolongado","","Amazon.es","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-3,95","-3,95"
"19 sept 2025 22:02:28 UTC","25490629642","Pedido","407-9136745-2241140","GLAN44979","Glandex Suplemento de Fibra y Salud Digestiva con Probióticos para Perros Croquetas Blanda (30)","1","amazon.es","Vendedor","Nava","Asturias","33520","","40,45","8,50","0","0","0","0","0","0","0","-8,89","0","-0,19","0","39,87"
"20 sept 2025 23:50:04 UTC","25490629642","Pedido","404-9192517-7926727","HORS01002EE","Caballo electrolitos Poeder pone B2 Emmer 2,5 kg","1","amazon.es","Vendedor","Cobreces","Cantabria","39329","","46,24","9,71","0","0","0","0","0","0","0","-10,15","0","-0,20","0","45,60"
"21 sept 2025 21:12:58 UTC","25490629642","Pedido","404-3309083-1513132","DRAGR57793","Dräger X-plore 3300 Semimáscara con filtros A2P3 R D Máscara de protección respiratoria homologada para pintura, agricultura, fumigantes, insectic","1","amazon.es","Amazon","Vila-seca","Catalunya","43480","","39,93","8,39","1,64","0,35","0","0","-1,64","-0,35","0","-8,78","0","-0,19","0","39,35"
"23 sept 2025 7:22:19 UTC","25572699122","Transferir","","","A la cuenta acabada en 319","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-426,54","-426,54"
"23 sept 2025 9:39:57 UTC","25572699122","Ajuste","","LAXK013","Reembolso de inventario - extraviado en el almacén","2","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","13,06","13,06"
"23 sept 2025 9:40:07 UTC","25572699122","Ajuste","","LAXK013","Reembolso de inventario - extraviado en el almacén","2","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","13,06","13,06"
"23 sept 2025 22:23:41 UTC","25572699122","Pedido","171-0674407-7257107","LEVE001000","Holland Animal Care Excellent Aceite de hígado 1 litro - Cuidado del Caballo - para apoyar la Resistencia, el Crecimiento y el Desarrollo y el Cuidad","1","amazon.es","Amazon","Murcia","Murcia","30590","","22,27","4,68","0","0","0","0","0","0","0","-4,89","-5,09","-0,10","0","16,87"
"26 sept 2025 20:30:54 UTC","25572699122","Pedido","407-6229264-9063552","DRAGR55800","Dräger X-plore 6300 Máscara completa con conexión roscada estándar Rd40 | Para la construcción y la industria","1","amazon.es","Vendedor","LEON","León","24004","","97,48","20,47","0","0","0","0","0","0","0","-21,41","0","-0,43","0","96,11"
"26 sept 2025 23:46:36 UTC","25572699122","Pedido","402-0790992-2566728","CHUC247401","¡Tírala! Lanzador de pelotas Pro 26XL para perros, de juguete, con pelota de tenis XL, 66 cm","1","amazon.es","Amazon","Jaen","Jaen","23005","","20,14","4,23","0","0","0","0","0","0","0","-4,42","-9,25","-0,08","0","10,62"
"27 sept 2025 20:38:16 UTC","25572699122","Pedido","171-9619344-3647555","KNOC001227","Knock Pest Control Fly Tape - 700 metros - Repelente de moscas - Cinta adhesiva para atrapamoscas - sin veneno - con adhesivo y atrayente - Amarillo -","1","amazon.es","Amazon","Nanclares De La Oca","Alava","01230","","31,78","6,67","0","0","0","0","0","0","0","-6,98","0","-0,15","0","31,32"
"28 sept 2025 23:52:35 UTC","25572699122","Pedido","406-2942143-3279526","DRAGR57793","Dräger X-plore 3300 Semimáscara con filtros A2P3 R D Máscara de protección respiratoria homologada para pintura, agricultura, fumigantes, insectic","1","amazon.es","Amazon","Legazpia","Gipuzkoa","20230","","38,94","8,18","0","0","0","0","0","0","0","-8,55","0","-0,17","0","38,40"
"29 sept 2025 20:40:28 UTC","25572699122","Pedido","405-9771236-9378704","COLS50750","Holland Animal Care Excellent Colstart Plus - Para apoyo a corderos recién nacidos, débiles o sin madre y/o partos múltiples, 750 gramos, adecuado","1","amazon.es","Amazon","Guaso","Huesca","22349","","55,88","11,73","3,30","0,69","0","0","-3,30","-0,69","0","-12,27","0","-0,24","0","55,10"
